,Open,High,Low,Close,Volume,QuoteVolume
2022-09-08 17:52:00+09:00,2773083.0,2773904.0,2772192.0,2773500.0,1.5644799,4338265.95004
2022-09-08 17:53:00+09:00,2773804.0,2774082.0,2773058.0,2774045.0,3.39721271,9422815.92360921
2022-09-08 17:54:00+09:00,2773945.0,2774965.0,2773479.0,2774373.0,2.38247288,6609273.40242099
2022-09-08 17:55:00+09:00,2774364.0,2774990.0,2773837.0,2774580.0,1.63021194,4522939.0139745
2022-09-08 17:56:00+09:00,2774681.0,2774681.0,2774000.0,2774000.0,22.70768941,62991724.21147361
2022-09-08 17:57:00+09:00,2774073.0,2774616.0,2774000.0,2774325.0,9.80039368,27186820.24824522
2022-09-08 17:58:00+09:00,2774050.0,2775441.0,2774031.0,2774645.0,2.92092581,8105206.37060012
2022-09-08 17:59:00+09:00,2774608.0,2775441.0,2774264.0,2775166.0,2.39475092,6645619.13791646
2022-09-08 18:00:00+09:00,2775152.0,2776749.0,2774800.0,2776541.0,4.10101018,11384043.13717889
2022-09-08 18:01:00+09:00,2776205.0,2777096.0,2775726.0,2776395.0,2.05065734,5693400.44465968
2022-09-08 18:02:00+09:00,2776347.0,2776790.0,2776040.0,2776401.0,1.85076,5138677.4896678
2022-09-08 18:03:00+09:00,2776401.0,2776401.0,2775165.0,2775840.0,1.89003,5246350.88091299
2022-09-08 18:04:00+09:00,2775860.0,2775860.0,2775235.0,2775369.0,1.10303824,3061553.44238618
2022-09-08 18:05:00+09:00,2775385.0,2775468.0,2774564.0,2774872.0,2.46411229,6838097.41580337
2022-09-08 18:06:00+09:00,2774872.0,2774935.0,2774068.0,2774852.0,3.46891688,9624535.66364246
2022-09-08 18:07:00+09:00,2774835.0,2774852.0,2774000.0,2774000.0,5.33891196,14811888.6273956
2022-09-08 18:08:00+09:00,2774008.0,2774240.0,2772552.0,2772552.0,6.73565452,18681374.22758249
2022-09-08 18:09:00+09:00,2772552.0,2772552.0,2771394.0,2772245.0,5.23013368,14497508.40457676
2022-09-08 18:10:00+09:00,2772238.0,2772339.0,2771464.0,2771976.0,1.10452343,3061468.42069766
2022-09-08 18:11:00+09:00,2771532.0,2772339.0,2771326.0,2772223.0,2.29647208,6365355.8231252
2022-09-08 18:12:00+09:00,2771996.0,2771996.0,2771459.0,2771459.0,1.03259,2861959.7886707
2022-09-08 18:13:00+09:00,2771460.0,2771746.0,2771326.0,2771327.0,0.59908702,1660347.26266164
2022-09-08 18:14:00+09:00,2771327.0,2771775.0,2771145.0,2771416.0,1.55852126,4319413.43139076
2022-09-08 18:15:00+09:00,2771416.0,2772050.0,2771147.0,2771551.0,1.496,4146244.97195092
2022-09-08 18:16:00+09:00,2771550.0,2772214.0,2771550.0,2772214.0,0.80549,2232813.23843986
2022-09-08 18:17:00+09:00,2772194.0,2777491.0,2771657.0,2775312.0,6.51490296,18076654.67894326
2022-09-08 18:18:00+09:00,2775012.0,2777094.0,2774357.0,2776637.0,8.84417228,24547049.25093224
2022-09-08 18:19:00+09:00,2776084.0,2777137.0,2775427.0,2776179.0,4.25969452,11825498.73528703
2022-09-08 18:20:00+09:00,2776179.0,2777519.0,2775795.0,2777029.0,2.48428422,6897948.92249298
2022-09-08 18:21:00+09:00,2776747.0,2777541.0,2776747.0,2776899.0,1.15483731,3207188.04878148
2022-09-08 18:22:00+09:00,2776643.0,2776643.0,2773542.0,2774157.0,2.63985678,7325372.64708624
2022-09-08 18:23:00+09:00,2774489.0,2775532.0,2773072.0,2773218.0,4.85260561,13462093.82219369
2022-09-08 18:24:00+09:00,2773251.0,2774000.0,2772927.0,2773782.0,3.83012036,10622353.01755432
